name|x|y
ROTHSCHILD LIQUORS|41.89619852|-87.66625727
NEW MODERN GRILL INC|41.93993844|-87.6491183
KEEGAN'S PUB|41.70030165|-87.68157331
DIA FOOD & LIQUOR|41.6849558|-87.65972583
SAM FOOD MART INC|41.70685453|-87.65880172
LA PRIMERA|41.97290417|-87.668133
THRIFTY FOOD|41.9655577|-87.65355928
J J PEPPERS FOOD STORE|41.96913564|-87.65497012
FARMERS ZABIHA HALAL MEAT INC.|41.99750565|-87.69646451
ASH'S SMOKE SHOP|41.97678147|-87.66825463
APPLE BITE MART|41.93555816|-87.64410158
7-ELEVEN|41.98337676|-87.71391166
NEW JB-ONE|41.77868683|-87.6057456
J & C FINER FOOD INC|41.87732667|-87.69606988
ASHLAND LIQUOR AND FOOD|41.72132699|-87.66253366
FULTON CITGO AND GROCERY|41.88637323|-87.70123431
LASALLE ST. NEWS STAND|41.88576112|-87.63259515
CALIFORNIA FOOD & LIQUORS|41.99703015|-87.69947325
MEGA FOOD MART INC.|41.87116636|-87.68631177
NELSON FOOD & LIQUOR|41.77793576|-87.70322439
KENDALL'S|41.92336295|-87.64563775
KSO FOOD MART|41.895585|-87.71481445
CONVENIENCE JUNCTION INC.|41.87928364|-87.6371007
7-ELEVEN|41.83637183|-87.62638079
WEST SIDE SHOP & SAVE|41.8589623|-87.72612326
DOLLAR & BEAUTY|41.89192049|-87.74555147
SAMAH|41.94248613|-87.65289661
L M B FOOD MART INC.|41.77912601|-87.68519834
ASHA FOOD INTERNATIONAL INC|41.96992149|-87.65498834
SUPER FURNITURE & DOLLAR PLUS INC.|41.75114463|-87.60700676
SUTTON LIQUOR|41.72908229|-87.66272107
DOLLAR & UP GROUP INC.|41.79361539|-87.70370439
7-ELEVEN|41.88579631|-87.62964615
FOSTER FOOD & LIQUOR|41.97618401|-87.67648413
FAIR DISCOUNT INC|41.78030156|-87.60586225
FOOD TOWN|41.96185845|-87.6521824
GEE JAYS|41.73696532|-87.72165212
PRIMO'S DOLLAR & FOOD MART|41.85196251|-87.69915253
GROVE LIQUORS|41.77328619|-87.6059191
SHERIDAN PARK FOOD & LIQUOR|41.96522681|-87.66180291
EAST COAST PANTRY CHICAGO|41.87424299|-87.63347653
IN & OUT FOOD CENTERS|41.75170451|-87.5600356
QUICK STOP PANTRY|41.97974085|-87.66812519
WILD BEAR STORE|41.93790914|-87.65904492
GIO'S|41.84359199|-87.64291886
SMOKE DREAMS|41.9651778|-87.657495
BEVERLY HILLS FOOD MART|41.72112262|-87.67708432
7 - ELEVEN|41.98156518|-87.66827046
Billy Goat Taven & Grill|41.89029965|-87.62425466
N & M FOOD MART INC.|41.90939039|-87.77337818
7- ELEVEN|41.89267922|-87.61786371
POTASH GOURMET 44|41.8991174|-87.62295567
HYDE PARK FOOD & LIQUOR|41.80213054|-87.62138508
CITGO|41.70674498|-87.64983046
RAVENSWOOD GAS - CITGO|41.97600178|-87.67383791
A & G LIQUORS|41.76783128|-87.62476594
STOP & GO FOOD MART|41.68957477|-87.66272315
EDEN'S FOOD & LIQUOR|41.99713179|-87.72822369
HALSTED FOOD & FRESH MEAT|41.80162842|-87.64549201
COTTAGE GROVE FOOD MART|41.78015196|-87.60577752
